Longitud de onda (Å),espectro
4000.0,0.9746569
4000.050000000745,1.0097456
4000.10000000149,0.9575736
4000.150000002235,0.94027656
4000.2000000029802,1.0199556
4000.2500000037253,0.9665447
4000.3000000044703,1.0301889
4000.3500000052154,0.97381425
4000.4000000059605,0.9644342
4000.4500000067055,0.94195765
4000.5000000074506,0.9899865
4000.5500000081956,0.89789337
4000.6000000089407,0.9691747
4000.6500000096858,1.0627551
4000.700000010431,1.0626502
4000.750000011176,1.0080613
4000.800000011921,1.059838
4000.850000012666,0.9774996
4000.900000013411,0.99143034
4000.950000014156,1.0225288
4001.000000014901,0.96925586
4001.050000015646,1.0366293
4001.1000000163913,1.002832
4001.1500000171363,1.1209013
4001.2000000178814,0.9607671
4001.2500000186265,1.0297229
4001.3000000193715,0.978066
4001.3500000201166,1.0202653
4001.4000000208616,0.97519743
4001.4500000216067,0.9805376
4001.5000000223517,1.0518694
4001.550000023097,1.0445544
4001.600000023842,1.0192034
4001.650000024587,0.95345306
4001.700000025332,1.0304796
4001.750000026077,1.0708019
4001.800000026822,1.0252004
4001.850000027567,0.8560006
4001.900000028312,0.9183043
4001.9500000290573,0.9647391
4002.0000000298023,0.99030286
4002.0500000305474,0.93495375
4002.1000000312924,0.9544217
4002.1500000320375,1.0345916
4002.2000000327826,0.86826247
4002.2500000335276,1.0194107
4002.3000000342727,0.94062924
4002.3500000350177,1.0102413
4002.400000035763,0.9948292
4002.450000036508,1.0268663
4002.500000037253,0.9531143
4002.550000037998,0.87109125
4002.600000038743,0.9434122
4002.650000039488,0.9437472
4002.700000040233,0.99315655
4002.750000040978,0.944742
4002.8000000417233,1.0543666
4002.8500000424683,0.93254644
4002.9000000432134,0.9353725
4002.9500000439584,0.9576604
4003.0000000447035,0.89715886
4003.0500000454485,0.9204542
4003.1000000461936,0.9047031
4003.1500000469387,0.8909765
4003.2000000476837,0.9598784
4003.250000048429,1.0755367
4003.300000049174,1.0007937
4003.350000049919,0.92848194
4003.400000050664,0.9638093
4003.450000051409,0.95153576
4003.500000052154,0.93612206
4003.550000052899,1.052308
4003.600000053644,1.0695167
4003.6500000543892,0.9459987
4003.7000000551343,0.99981487
4003.7500000558794,0.9896799
4003.8000000566244,1.0287917
4003.8500000573695,0.98640805
4003.9000000581145,0.9671712
4003.9500000588596,0.9303869
4004.0000000596046,0.94262314
4004.0500000603497,1.053457
4004.1000000610948,1.0347888
4004.15000006184,1.0065762
4004.200000062585,0.9830745
4004.25000006333,1.0556889
4004.300000064075,0.96094996
4004.35000006482,0.95206213
4004.400000065565,0.964427
4004.45000006631,0.9312572
4004.500000067055,0.98578477
4004.5500000678003,0.9409196
4004.6000000685453,0.9187274
4004.6500000692904,0.884351
4004.7000000700355,0.9387404
4004.7500000707805,0.9465809
4004.8000000715256,0.9085239
4004.8500000722706,0.91547596
4004.9000000730157,0.91031
4004.9500000737607,0.96618843
4005.000000074506,0.89824075
4005.050000075251,0.9544058
4005.100000075996,0.9373831
