Longitud de onda (Å),espectro
4000.0,1.0032605
4000.050000000745,0.9834646
4000.10000000149,1.0641054
4000.150000002235,0.9475087
4000.2000000029802,0.8713696
4000.2500000037253,0.842657
4000.3000000044703,0.8689091
4000.3500000052154,0.8385115
4000.4000000059605,0.82900757
4000.4500000067055,0.87753713
4000.5000000074506,0.8603924
4000.5500000081956,1.0270494
4000.6000000089407,1.049994
4000.6500000096858,1.0872602
4000.700000010431,1.1364328
4000.750000011176,1.0644537
4000.800000011921,1.1487666
4000.850000012666,1.1454759
4000.900000013411,1.1012558
4000.950000014156,1.062074
4001.000000014901,1.1519215
4001.050000015646,1.071542
4001.1000000163913,1.0367
4001.1500000171363,1.1312878
4001.2000000178814,1.0887922
4001.2500000186265,1.0906135
4001.3000000193715,1.0380427
4001.3500000201166,0.99828297
4001.4000000208616,0.8704772
4001.4500000216067,0.85379505
4001.5000000223517,0.81252617
4001.550000023097,0.87751484
4001.600000023842,0.8395946
4001.650000024587,0.71173394
4001.700000025332,0.7536087
4001.750000026077,0.8802757
4001.800000026822,0.9429195
4001.850000027567,1.1554716
4001.900000028312,1.0510837
4001.9500000290573,0.98619103
4002.0000000298023,0.9734996
4002.0500000305474,0.81786156
4002.1000000312924,0.8876842
4002.1500000320375,0.96565497
4002.2000000327826,1.1159877
4002.2500000335276,1.0300652
4002.3000000342727,1.0004121
4002.3500000350177,1.0125476
4002.400000035763,1.011062
4002.450000036508,0.97841847
4002.500000037253,0.9351489
4002.550000037998,1.0261015
4002.600000038743,1.0133251
4002.650000039488,0.9128072
4002.700000040233,0.8325938
4002.750000040978,0.8791515
4002.8000000417233,0.91476965
4002.8500000424683,0.7883524
4002.9000000432134,0.7787062
4002.9500000439584,0.8178536
4003.0000000447035,0.90368044
4003.0500000454485,1.0579386
4003.1000000461936,1.2264239
4003.1500000469387,1.1973724
4003.2000000476837,1.1040244
4003.250000048429,0.92847276
4003.300000049174,0.9223377
4003.350000049919,0.98907024
4003.400000050664,1.124576
4003.450000051409,1.0500796
4003.500000052154,0.9313359
4003.550000052899,1.0611535
4003.600000053644,1.0838042
4003.6500000543892,1.1000806
4003.7000000551343,1.0409095
4003.7500000558794,1.0356233
4003.8000000566244,0.9343852
4003.8500000573695,1.0972626
4003.9000000581145,1.0877144
4003.9500000588596,0.9885305
4004.0000000596046,0.9656965
4004.0500000603497,1.002102
4004.1000000610948,1.0676721
4004.15000006184,0.8911893
4004.200000062585,0.9610623
4004.25000006333,1.0479997
4004.300000064075,0.9861013
4004.35000006482,1.032892
4004.400000065565,1.103227
4004.45000006631,1.0208625
4004.500000067055,1.0488292
4004.5500000678003,1.0893767
4004.6000000685453,1.0268422
4004.6500000692904,1.0431432
4004.7000000700355,1.0771242
4004.7500000707805,1.0698837
4004.8000000715256,0.9192086
4004.8500000722706,0.7762208
4004.9000000730157,0.745436
4004.9500000737607,0.67859906
4005.000000074506,0.7894441
4005.050000075251,0.9656008
4005.100000075996,0.97198766
4005.150000076741,0.78845763
4005.200000077486,0.774945
4005.250000078231,0.79093516
4005.300000078976,0.76647115
4005.350000079721,0.8750805
4005.4000000804663,0.9284763
4005.4500000812113,0.8861561
4005.5000000819564,0.9121908
4005.5500000827014,1.0420703
4005.6000000834465,0.96373177
4005.6500000841916,0.89956367
4005.7000000849366,0.8804821
4005.7500000856817,0.8612456
4005.8000000864267,1.0125009
4005.850000087172,1.0024723
4005.900000087917,1.0853174
4005.950000088662,1.0312052
4006.000000089407,0.9511673
4006.050000090152,0.84393305
4006.100000090897,0.6857984
4006.150000091642,0.6312494
4006.200000092387,0.7095815
4006.2500000931323,0.73648196
4006.3000000938773,0.61504066
4006.3500000946224,0.69351685
4006.4000000953674,0.7413872
4006.4500000961125,0.705935
4006.5000000968575,0.75599676
4006.5500000976026,0.7566192
4006.6000000983477,0.7016689
4006.6500000990927,0.6906471
4006.700000099838,0.74360055
4006.750000100583,0.74931943
4006.800000101328,0.828441
4006.850000102073,0.8274128
4006.900000102818,0.7898346
4006.950000103563,0.8817481
4007.000000104308,0.97331786
4007.050000105053,1.0129199
4007.1000001057982,0.9968201
4007.1500001065433,1.020178
4007.2000001072884,0.996326
4007.2500001080334,0.764326
4007.3000001087785,0.87742066
4007.3500001095235,0.87931013
4007.4000001102686,0.93432164
4007.4500001110137,0.94588447
4007.5000001117587,0.9374572
4007.5500001125038,0.93573916
4007.600000113249,0.9112631
4007.650000113994,1.0640659
4007.700000114739,1.0437133
4007.750000115484,0.9798697
4007.800000116229,0.93932325
4007.850000116974,0.81323564
4007.900000117719,0.8198451
4007.9500001184642,0.7618729
4008.0000001192093,0.97860307
4008.0500001199543,0.9637426
4008.1000001206994,1.1104242
4008.1500001214445,0.97900116
4008.2000001221895,0.99051297
4008.2500001229346,1.0327392
4008.3000001236796,1.0638218
4008.3500001244247,1.0677981
4008.4000001251698,1.0830303
4008.450000125915,0.9676582
4008.50000012666,0.9647158
4008.550000127405,0.96506286
4008.60000012815,0.98820645
4008.650000128895,1.0703684
4008.70000012964,1.1871659
4008.750000130385,1.1121876
4008.80000013113,1.0171483
4008.8500001318753,0.9493569
4008.9000001326203,0.87975514
4008.9500001333654,0.98180526
4009.0000001341105,0.9836308
4009.0500001348555,1.0473319
4009.1000001356006,0.9593454
4009.1500001363456,1.0017797
4009.2000001370907,0.9396995
4009.2500001378357,1.1190097
4009.300000138581,1.068872
4009.350000139326,1.05887
4009.400000140071,1.0580735
4009.450000140816,1.0902079
4009.500000141561,1.0266659
4009.550000142306,1.0860137
4009.600000143051,0.98977035
4009.650000143796,0.90763783
4009.7000001445413,0.7945771
4009.7500001452863,0.9774121
